Sunpetal Grove (XLN),Price - In,# Bought,# Left,Total,Current,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,,,,,,,
Heron's Grace Champion,0.009,80,0,0.72,0.00,0.05,36,1.8,1.476,456%,0.04,16,0.64,0.496,344%,0.02,8,0.16,0.088,122%,0.03,12,0.36,0.252,233%,0.034,8,0.272,0.2,278%,,,,,,,
Heron's Grace Champion,0.01,52,0,0.52,0.00,0.08,20,1.6,1.4,700%,0.1,8,0.8,0.72,900%,0.09,4,0.36,0.32,800%,0.13,4,0.52,0.48,1200%,0.19,16,3.04,2.88,1800%,,,,,,,
Hero's Downfall,0.01,4,4,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Stockpile,0.002,67,0,0.13,0.00,0.034,8,0.272,0.256,1600%,0.0425,24,1.02,0.972,2025%,0.051,8,0.408,0.392,2450%,0.068,15,1.02,0.99,3300%,0.06,12,0.72,0.696,2900%,,18.743,,,,,
Hidden Stockpile,0.002,32,0,0.06,0.00,0.05,4,0.2,0.192,2400%,0.07,4,0.28,0.272,3400%,0.18,8,1.44,1.424,8900%,0.17,12,2.04,2.016,8400%,0.15,4,0.6,0.592,7400%,,,,,,,
Hidden Stockpile,0.002,43,0,0.09,0.00,0.2125,8,1.7,1.684,10525%,0.136,8,1.088,1.072,6700%,0.13,8,1.04,1.024,6400%,0.153,15,2.295,2.265,7550%,0.12,4,0.48,0.472,5900%,,,,,,,
Hidden Stockpile,0.002,32,0,0.06,0.00,0.102,16,1.632,1.6,5000%,0.1615,8,1.292,1.276,7975%,0.1955,8,1.564,1.548,9675%,,,,,,,,,,,,,,,,,
Hieroglyphic Illumination,0.001,100,93,0.10,0.09,0.034,7,0.238,0.231,3300%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Lake,0.005,12,12,0.06,0.06,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinterland Harbor,0.33,4,0,1.32,0.00,0.3325,4,1.33,0.01,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinterland Harbor,0.25,8,4,2.00,1.00,0.2525,4,1.01,0.01,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinterland Harbor,0.03,8,0,0.24,0.00,0.3375,8,2.7,2.46,1025%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.39,4,0,1.56,0.00,0.394,4,1.576,0.016,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.31,4,0,1.24,0.00,0.354,4,1.416,0.176,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.3,16,0,4.80,0.00,0.493,8,3.944,1.544,64%,0.4505,8,3.604,1.204,50%,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.25,8,0,2.00,0.00,0.7055,8,5.644,3.644,182%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.24,8,0,1.92,0.00,0.663,8,5.304,3.384,176%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.23,4,0,0.92,0.00,0.816,1,0.816,0.586,255%,0.945,3,2.835,2.145,311%,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.16,4,0,0.64,0.00,0.945,4,3.78,3.14,491%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow One,0.13,16,0,2.08,0.00,0.945,1,0.945,0.815,627%,1.39,4,5.56,5.04,969%,1.38,4,5.52,5,962%,1.37,4,5.48,4.96,954%,1.36,3,4.08,3.69,946%,,,,,,,
Hope of Ghirapur,0.01,64,0,0.64,0.00,0.08,28,2.24,1.96,700%,0.06,12,0.72,0.6,500%,0.102,8,0.816,0.736,920%,0.13,8,1.04,0.96,1200%,0.11,8,0.88,0.8,1000%,,,,,,,
Hope of Ghirapur,0.01,40,0,0.40,0.00,0.187,8,1.496,1.416,1770%,0.204,8,1.632,1.552,1940%,0.221,14,3.094,2.954,2110%,0.19,2,0.38,0.36,1800%,0.2805,8,2.244,2.164,2705%,,,,,,,
Hope of Ghirapur,0.01,16,0,0.16,0.00,0.26,4,1.04,1,2500%,0.2125,8,1.7,1.62,2025%,0.3825,4,1.53,1.49,3725%,,,,,,,,,,,,,,,,,
Hostage Taker,2.56,8,0,20.48,0.00,3.2756,8,26.2048,5.7248,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.11,16,16,1.76,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.1,8,8,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.09,8,8,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.08,8,8,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.07,24,24,1.68,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.06,12,12,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Desert,0.04,4,4,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Devastation,1.5,4,4,6.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Devastation,0.75,4,0,3.00,0.00,1.089,4,4.356,1.356,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Devastation,0.74,8,4,5.92,2.96,1.089,4,4.356,1.396,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Devastation,0.7,4,4,2.80,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Glory,0.03,16,8,0.48,0.24,0.1615,8,1.292,1.052,438%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Glory,0.02,32,32,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Glory,0.01,60,52,0.60,0.52,0.051,8,0.408,0.328,410%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.9,8,0,7.20,0.00,1.26,8,10.08,2.88,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.7,4,0,2.80,0.00,0.945,2,1.89,0.49,35%,0.91,2,1.82,0.42,30%,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.69,4,0,2.76,0.00,0.91,2,1.82,0.44,32%,1.98,2,3.96,2.58,187%,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.62,8,0,4.96,0.00,1.98,6,11.88,8.16,219%,1.97,2,3.94,2.7,218%,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.61,4,0,2.44,0.00,1.97,2,3.94,2.72,223%,1.96,2,3.92,2.7,221%,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.55,8,4,4.40,2.20,1.36,4,5.44,3.24,147%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Promise,0.54,4,4,2.16,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.11,20,12,2.20,1.32,0.255,8,2.04,1.16,132%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.1,20,20,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.09,24,24,2.16,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.08,12,4,0.96,0.32,0.4675,8,3.74,3.1,484%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.04,24,24,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour of Revelation,0.03,8,8,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howling Mine,0.94,2,2,1.88,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howling Mine,0.93,2,2,1.86,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howltooth Hollow,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurkyl's Recall,7.27,4,4,29.08,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichorid,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichorid,0.03,4,4,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichorid,0.02,12,12,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity Thief,0.009,8,8,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifnir Deadlands,0.08,16,0,1.28,0.00,0.102,8,0.816,0.176,28%,0.17,8,1.36,0.72,113%,,,,,,,,,,,,,,,,,,,,,,
Ifnir Deadlands,0.06,8,0,0.48,0.00,0.16,8,1.28,0.8,167%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifnir Deadlands,0.03,8,0,0.24,0.00,0.16,4,0.64,0.52,433%,0.15,4,0.6,0.48,400%,,,,,,,,,,,,,,,,,,,,,,
Ifnir Deadlands,0.02,28,0,0.56,0.00,0.2805,8,2.244,2.084,1303%,0.6545,1,0.6545,0.6345,3173%,0.48,8,3.84,3.68,2300%,0.544,8,4.352,4.192,2620%,0.595,3,1.785,1.725,2875%,,,,,,,
Ifnir Deadlands,0.01,136,0,1.36,0.00,0.034,24,0.816,0.576,240%,0.0255,8,0.204,0.124,155%,0.051,16,0.816,0.656,410%,0.1105,16,1.768,1.608,1005%,0.1,72,7.2,6.48,900%,,,,,,,
Ifnir Deadlands,0.01,92,0,0.92,0.00,0.09,60,5.4,4.8,800%,0.08,8,0.64,0.56,700%,0.07,12,0.84,0.72,600%,0.06,4,0.24,0.2,500%,0.05,8,0.4,0.32,400%,,60.7195,,,,,
Ifnir Deadlands,0.01,132,0,1.32,0.00,0.15,44,6.6,6.16,1400%,0.14,44,6.16,5.72,1300%,0.11,36,3.96,3.6,1000%,0.13,4,0.52,0.48,1200%,0.12,4,0.48,0.44,1100%,,,,,,,
Ifnir Deadlands,0.01,28,0,0.28,0.00,0.35,4,1.4,1.36,3400%,0.34,12,4.08,3.96,3300%,0.33,8,2.64,2.56,3200%,0.32,4,1.28,1.24,3100%,,,,,,,,,,,,
Ifnir Deadlands,0.01,32,0,0.32,0.00,0.1,12,1.2,1.08,900%,0.18,4,0.72,0.68,1700%,0.17,4,0.68,0.64,1600%,0.16,4,0.64,0.6,1500%,0.153,8,1.224,1.144,1430%,,,,,,,
Immolating Glare,0.01,24,0,0.24,0.00,0.07,8,0.56,0.48,600%,0.1955,8,1.564,1.484,1855%,0.16,8,1.28,1.2,1500%,,,,,,,,,,,,,,,,,
Imperial Seal,0.52,1,1,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impetuous Devils,0.009,12,8,0.11,0.07,0.017,4,0.068,0.032,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imprisoned in the Moon,0.01,86,0,0.86,0.00,0.017,56,0.952,0.392,70%,0.0255,4,0.102,0.062,155%,0.034,8,0.272,0.192,240%,0.0595,6,0.357,0.297,495%,0.05,12,0.6,0.48,400%,,,,,,,
Imprisoned in the Moon,0.01,104,0,1.04,0.00,0.068,8,0.544,0.464,580%,0.07,36,2.52,2.16,600%,0.05,32,1.6,1.28,400%,0.06,28,1.68,1.4,500%,,,,,,,,,,,,
Imprisoned in the Moon,0.009,100,0,0.90,0.00,0.02,20,0.4,0.22,122%,0.04,56,2.24,1.736,344%,0.07,4,0.28,0.244,678%,0.03,12,0.36,0.252,233%,0.085,8,0.68,0.608,844%,,,,,,,
Imprisoned in the Moon,0.009,60,16,0.54,0.14,0.09,12,1.08,0.972,900%,0.08,24,1.92,1.704,789%,0.102,8,0.816,0.744,1033%,,,,,,,,,,,,,,,,,
Incendiary Flow,0.12,8,0,0.96,0.00,0.136,8,1.088,0.128,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary Flow,0.16,4,0,0.64,0.00,0.255,4,1.02,0.38,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary Flow,0.08,4,0,0.32,0.00,0.119,4,0.476,0.156,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary Flow,0.06,28,0,1.68,0.00,0.09,4,0.36,0.12,50%,0.068,8,0.544,0.064,13%,0.204,4,0.816,0.576,240%,0.17,12,2.04,1.32,183%,,,,,,,,,,,,
Incendiary Flow,0.05,16,0,0.80,0.00,0.051,4,0.204,0.004,2%,0.16,8,1.28,0.88,220%,0.357,4,1.428,1.228,614%,,,,,,,,,,,,,,,,,
Incendiary Flow,0.04,20,0,0.80,0.00,0.0935,3,0.2805,0.1605,134%,0.09,4,0.36,0.2,125%,0.15,8,1.2,0.88,275%,0.14,4,0.56,0.4,250%,0.28,1,0.28,0.24,600%,,12.6345,,,,,
Incendiary Flow,0.03,4,0,0.12,0.00,0.357,4,1.428,1.308,1090%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary Flow,0.02,24,0,0.48,0.00,0.085,8,0.68,0.52,325%,0.21,8,1.68,1.52,950%,0.22,4,0.88,0.8,1000%,0.2125,4,0.85,0.77,963%,,,,,,,,,,,,
Incendiary Flow,0.01,4,0,0.04,0.00,0.255,4,1.02,0.98,2450%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indomitable Creativity,0.54,4,0,2.16,0.00,0.54,4,2.16,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indomitable Creativity,0.19,16,0,3.04,0.00,0.32,4,1.28,0.52,68%,0.238,8,1.904,0.384,25%,0.27,4,1.08,0.32,42%,,,,,,,,,,,,,,,,,
Indomitable Creativity,0.13,24,16,3.12,2.08,0.3145,8,2.516,1.476,142%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indomitable Creativity,0.11,4,4,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inexorable Blob,0.01,20,16,0.20,0.16,0.017,4,0.068,0.028,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inquisition of Kozilek,1.79,4,0,7.16,0.00,1.827,4,7.308,0.148,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inquisition of Kozilek,1.62,8,4,12.96,6.48,1.827,4,7.308,0.828,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insidious Will,0.03,4,4,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insidious Will,0.009,16,16,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insolent Neonate,0.002,36,20,0.07,0.04,0.034,8,0.272,0.256,1600%,0.0255,8,0.204,0.188,1175%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.15,8,0,1.20,0.00,0.17,8,1.36,0.16,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.13,8,0,1.04,0.00,0.2295,8,1.836,0.796,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.11,8,8,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.1,20,20,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.09,28,28,2.52,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.08,4,4,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.07,8,8,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.06,8,8,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.05,44,32,2.20,1.60,0.09,12,1.08,0.48,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.03,8,0,0.24,0.00,0.22,4,0.88,0.76,633%,0.19,4,0.76,0.64,533%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.02,20,0,0.40,0.00,0.5,4,2,1.92,2400%,0.49,12,5.88,5.64,2350%,0.87,4,3.48,3.4,4250%,,,,,,,,,,,,,,,,,
Inspiring Statuary,0.01,16,0,0.16,0.00,0.7905,8,6.324,6.244,7805%,0.84,8,6.72,6.64,8300%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,2.18,8,0,17.44,0.00,2.7026,8,21.6208,4.1808,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,2.05,8,0,16.40,0.00,2.33,4,9.32,1.12,14%,2.34,4,9.36,1.16,14%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,2,4,0,8.00,0.00,2.59,4,10.36,2.36,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.97,8,0,15.76,0.00,2.76,4,11.04,3.16,40%,2.75,4,11,3.12,40%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.96,8,0,15.68,0.00,2.72,4,10.88,3.04,39%,2.5308,4,10.1232,2.2832,29%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.84,8,0,14.72,0.00,2.5308,4,10.1232,2.7632,38%,2.588,4,10.352,2.992,41%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.78,4,0,7.12,0.00,2.78,4,11.12,4,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.72,4,0,6.88,0.00,3.29,4,13.16,6.28,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.7,4,4,6.80,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.61,8,0,12.88,0.00,1.64,8,13.12,0.24,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.55,4,4,6.20,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.54,4,0,6.16,0.00,2.9318,4,11.7272,5.5672,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.5,8,8,12.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.37,4,0,5.48,0.00,1.49,4,5.96,0.48,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.32,4,4,5.28,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.31,4,4,5.24,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.3,4,0,5.20,0.00,1.49,4,5.96,0.76,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.25,8,8,10.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.18,4,4,4.72,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.12,8,0,8.96,0.00,1.36,4,5.44,0.96,21%,1.43,4,5.72,1.24,28%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.07,4,0,4.28,0.00,1.43,4,5.72,1.44,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.82,4,0,3.28,0.00,1.06,4,4.24,0.96,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.99,4,0,3.96,0.00,1.06,4,4.24,0.28,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.42,8,0,11.36,0.00,2.9318,4,11.7272,6.0472,106%,3.0942,4,12.3768,6.6968,118%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.41,4,0,5.64,0.00,3.0942,4,12.3768,6.7368,119%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.24,4,0,4.96,0.00,1.73,4,6.92,1.96,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.18,16,0,18.88,0.00,1.39,4,5.56,0.84,18%,1.56,4,6.24,1.52,32%,1.81,8,14.48,5.04,53%,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.16,12,0,13.92,0.00,1.42,4,5.68,1.04,22%,1.41,4,5.64,1,22%,1.94,4,7.76,3.12,67%,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.04,4,0,4.16,0.00,1.152,4,4.608,0.448,11%,,,,,,,,,,,,,,,,,,,,,,127.7152,,,,,
Inspiring Vantage,1.07,4,0,4.28,0.00,1.152,4,4.608,0.328,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.09,12,0,13.08,0.00,1.719,8,13.752,5.032,58%,1.39,4,5.56,1.2,28%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,1.03,4,0,4.12,0.00,2.47,4,9.88,5.76,140%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.98,4,0,3.92,0.00,1.23,4,4.92,1,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.97,4,0,3.88,0.00,2.48,4,9.92,6.04,156%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.96,4,0,3.84,0.00,0.97,4,3.88,0.04,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.88,20,0,17.60,0.00,0.945,8,7.56,0.52,7%,1.4,4,5.6,2.08,59%,1.41,4,5.64,2.12,60%,1.22,4,4.88,1.36,39%,,,,,,,,,,,,
Inspiring Vantage,0.85,4,0,3.40,0.00,1.21,4,4.84,1.44,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.77,8,0,6.16,0.00,1.27,4,5.08,2,65%,1.665,4,6.66,3.58,116%,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.7,4,0,2.80,0.00,1.665,4,6.66,3.86,138%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Vantage,0.63,8,0,5.04,0.00,1.7,4,6.8,4.28,170%,1.69,4,6.76,4.24,168%,,,,,,,,,,,,,,,,,,,,,,
Insult//Injury,0.04,8,8,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insult//Injury,0.03,8,8,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insult//Injury,0.02,12,12,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventor's Apprentice,0.005,24,24,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.09,8,8,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.07,8,0,0.56,0.00,0.1,8,0.8,0.24,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.06,4,4,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.05,20,8,1.00,0.40,0.09,4,0.36,0.16,80%,0.19,4,0.76,0.56,280%,0.18,4,0.72,0.52,260%,,,,,,,,,,,,,,,,,
Inventors' Fair,0.04,48,12,1.92,0.48,0.204,8,1.632,1.312,410%,0.18,8,1.44,1.12,350%,0.14,12,1.68,1.2,250%,0.15,8,1.2,0.88,275%,,,,,,,,,,,,
Inventors' Fair,0.035,8,0,0.28,0.00,0.1,8,0.8,0.52,186%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.03,20,20,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.02,36,32,0.72,0.64,0.119,4,0.476,0.396,495%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventors' Fair,0.01,50,10,0.50,0.10,0.11,8,0.88,0.8,1000%,0.127,16,2.032,1.872,1170%,0.119,8,0.952,0.872,1090%,0.26,8,2.08,2,2500%,,,,,,,,,,,,
Invocation of Saint Traft,0.01,8,0,0.08,0.00,0.017,8,0.136,0.056,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invocation of Saint Traft,0.009,8,8,0.07,0.07,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iona, Shield of Emeria",0.51,4,4,2.04,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipnu Rivulet,0.002,100,40,0.20,0.08,0.034,16,0.544,0.512,1600%,0.0255,8,0.204,0.188,1175%,0.0425,16,0.68,0.648,2025%,0.0595,8,0.476,0.46,2875%,0.21,12,2.52,2.496,10400%,,,,,,,
Ipnu Rivulet,0.002,100,28,0.20,0.06,0.15,20,3,2.96,7400%,0.14,4,0.56,0.552,6900%,0.1,36,3.6,3.528,4900%,0.11,8,0.88,0.864,5400%,0.09,4,0.36,0.352,4400%,,22.584,,,,,
Ipnu Rivulet,0.002,100,76,0.20,0.15,0.1275,8,1.02,1.004,6275%,0.085,8,0.68,0.664,4150%,0.102,8,0.816,0.8,5000%,,,,,,,,,,,,,,,,,
Ipnu Rivulet,0.002,100,60,0.20,0.12,0.2,12,2.4,2.376,9900%,0.19,4,0.76,0.752,9400%,0.18,4,0.72,0.712,8900%,0.16,12,1.92,1.896,7900%,0.2295,8,1.836,1.82,11375%,,,,,,,
Irrigated Farmland,2.23,8,0,17.84,0.00,2.7313,8,21.8504,4.0104,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,2.08,4,0,8.32,0.00,2.1392,4,8.5568,0.2368,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,2.02,8,0,16.16,0.00,2.0246,1,2.0246,0.0046,0%,2.1392,3,6.4176,0.3576,6%,3.0274,4,12.1096,4.0296,50%,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.97,8,0,15.76,0.00,2.23,4,8.92,1.04,13%,2.76,4,11.04,3.16,40%,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.91,8,0,15.28,0.00,3.0274,4,12.1096,4.4696,59%,2.98,4,11.92,4.28,56%,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.82,8,0,14.56,0.00,2.76,4,11.04,3.76,52%,2.8936,4,11.5744,4.2944,59%,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.69,4,0,6.76,0.00,2.8936,4,11.5744,4.8144,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.68,4,0,6.72,0.00,2.93,4,11.72,5,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.6,8,0,12.80,0.00,2.4,8,19.2,6.4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.53,8,0,12.24,0.00,2.1296,8,17.0368,4.7968,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.43,12,0,17.16,0.00,1.86,4,7.44,1.72,30%,3.1706,8,25.3648,13.9248,122%,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.4,8,0,11.20,0.00,2.1583,8,17.2664,6.0664,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigated Farmland,1.38,8,0,11.04,0.00,2.7122,4,10.8488,5.3288,97%,3.4189,4,13.6756,8.1556,148%,,,,,,,,,,,,,,,,,,,,,,
